Model,Predictors,PPR,Additive,Linear,Multiple
$y_{1}$,all x,1 index,1 index,1 index,1 index
$y_{1}$,all x,"($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)"
$y_{1}$,all x + all z,1 index,1 index,1 index,1 index
$y_{1}$,all x + all z,"($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)"
$y_{1}$,some x + all z,1 index,3 indices,1 index,1 index
$y_{1}$,some x + all z,"($x_{0}, x_{1}, z_{2}, z_{4}$)","($x_{0}, x_{1}$) ($z_{4}$) ($z_{1}$)","($x_{0}, x_{1}, z_{2}, z_{4}$)","($x_{0}, x_{1}, z_{2}, z_{4}$)"
$y_{2}$,all x,2 indices,2 indices,1 index,2 indices
$y_{2}$,all x,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)"
$y_{2}$,all x + all z,2 indices,2 indices,1 index,2 indices
$y_{2}$,all x + all z,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)"
$y_{2}$,some x + all z,3 indices,2 indices,1 index,2 indices
$y_{2}$,some x + all z,"($x_{0}, x_{1}, z_{2}$) ($x_{2}$) ($z_{3}, z_{4}$)","($x_{0}, x_{1}, z_{4}$) ($x_{2}$)","($x_{0}, x_{1}, x_{2}, z_{2}$)","($x_{0}, x_{1}$) ($x_{2}, z_{2}, z_{3}$)"
$y_{1}$,all x,1 index,2 indices,1 index,1 index
$y_{1}$,all x,"($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}$) ($x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)"
$y_{1}$,all x + all z,1 index,2 indices,1 index,2 indices
$y_{1}$,all x + all z,"($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$) ($z_{0}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$) ($z_{0}$)"
$y_{1}$,some x + all z,3 indices,3 indices,1 index,3 indices
$y_{1}$,some x + all z,"($x_{0}, x_{1}$) ($z_{1}$) ($z_{4}$)","($x_{0}, x_{1}$) ($z_{1}$) ($z_{4}$)","($x_{0}, x_{1}, z_{2}, z_{4}$)","($x_{0}, x_{1}$) ($z_{0}, z_{4}$) ($z_{1}$)"
$y_{2}$,all x,3 indices,3 indices,2 indices,3 indices
$y_{2}$,all x,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$) ($x_{4}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$) ($x_{4}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}$) ($x_{4}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$) ($x_{4}$)"
$y_{2}$,all x + all z,2 indices,2 indices,1 index,2 indices
$y_{2}$,all x + all z,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}, z_{1}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}, z_{1}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}, z_{0}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)"
$y_{2}$,some x + all z,3 indices,2 indices,1 index,2 indices
$y_{2}$,some x + all z,"($x_{0}, x_{1}, z_{0}, z_{3}$) ($x_{2}$) ($z_{1}, z_{4}, z_{5}$)","($x_{0}, x_{1}, z_{0}, z_{1}, z_{3}, z_{4}$) ($x_{2}$)","($x_{0}, x_{1}, x_{2}, z_{0}, z_{3}, z_{4}$)","($x_{0}, x_{1}, z_{0}, z_{1}, z_{3}, z_{4}$) ($x_{2}$)"
